Covered_Recipient_Type,Teaching_Hospital_ID,Teaching_Hospital_Name,Physician_Profile_ID,Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID,Name_of_Associated_Covered_Drug_or_Biological1,Name_of_Associated_Covered_Drug_or_Biological2,Name_of_Study,Research_Information_Link,Context_of_Research
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,49510.15,05/19/2015,Cash or cash equivalent,254932720,,,A randomised double blind placebo controlled parallel group multicentre phase III study to evaluate the efficacy and safety of 2 doses of benralizumab MEDI 563 in patients with severe to very severe Chronic Obstructive Pulmonary Disease COPD with a history of COPD exacerbations GALATHEA,,
Non-covered Recipient Entity,,,,,,,411 Laurel St,,Des Moines,50314-3017,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,13170.00,10/19/2015,Cash or cash equivalent,254929860,BYDUREON,,Exenatide Study of Cardiovascular Event Lowering EXSCEL A Placebo controlled Double blind Trial Examining the Effect of Exenatide QW Treatment on Major Macrovascular Events in Patients with Type 2 Diabetes with Elevated CV Risk,,
Non-covered Recipient Entity,,,,,,,411 Laurel St,Ste 3262,Des Moines,50314-3027,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,2227.54,04/30/2015,In-kind items and services,254952022,BYDUREON PEN,,Exenatide Study of Cardiovascular Event Lowering EXSCEL A Placebo controlled Double blind Trial Examining the Effect of Exenatide QW Treatment on Major Macrovascular Events in Patients with Type 2 Diabetes with Elevated CV Risk,,
Non-covered Recipient Entity,,,,,,,933 E Pierce St,Ste 501,Council Bluffs,51503-4626,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,4548.78,04/30/2015,In-kind items and services,254950760,SYMBICORT,,A Phase IIIB 6 Month Doubleblind Double dummy Randomized Parallel group  Multicenter Exacerbation Study of Symbicort pMDI 160 45 g  2 Actuations Twice daily Compared to Formoterol Turbuhaler 45 g  2 Inhalations Twice daily in COPD Patients,,
Non-covered Recipient Entity,,,,,,,933 E Pierce St,Ste 501,Council Bluffs,51503-4626,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,12.07,04/30/2015,In-kind items and services,254977317,SYMBICORT,,LABA Safety Study,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,4.92,04/30/2015,In-kind items and services,254975190,BRILINTA,,Randomised double blind parallel group multicentre phase IIIb study to compare ticagrelor with clopidogrel treatment on the risk of cardiovascular death myocardial infarction and ischaemic stroke in patients with established Peripheral Artery Disease EUCLID Examining Use of tiCagreLor In paD,,
Non-covered Recipient Entity,,,,,,,1111 6th Ave,Suite West 4,Des Moines,50314,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,5994.30,01/29/2015,Cash or cash equivalent,254976046,BRILINTA,,A Randomised Double Blind Multinational Study to Prevent Major Vascular Events with Ticagrelor Compared to Aspirin ASA in Patients with Acute Ischaemic Stroke or TIA,,
Covered Recipient Teaching Hospital,2815,Trinity Bettendorf,,,,,4500 Utica Ridge Rd,,Bettendorf,52722,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,16415.00,01/22/2015,Cash or cash equivalent,254965202,BRILINTA,,Randomised double blind parallel group multicentre phase IIIb study to compare ticagrelor with clopidogrel treatment on the risk of cardiovascular death myocardial infarction and ischaemic stroke in patients with established Peripheral Artery Disease EUCLID Examining Use of tiCagreLor In paD,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,46048.11,07/07/2015,Cash or cash equivalent,254965212,,,Efficacy and Safety Study of Benralizumab to Reduce OCS Use in Patients With Uncontrolled Asthma on High Dose Inhaled Corticosteroid Plus LABA and Chronic OCS Therapy,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,14418.25,12/08/2015,Cash or cash equivalent,254964376,,,"Multicentre, Double-blind, Randomized, Parallel Group, Phase 3 Safety Extension Study to Evaluate the Safety and Tolerability of Benralizumab MEDI-563 in Asthmatic Adults and Adolescents on Inhaled Corticosteroid Plus Long-acting Beta2 Agonist BORA",,
Covered Recipient Teaching Hospital,2938,Mercy Medical Center-Des Moines,,,,,1111 6th Ave,,Des Moines,50314,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,23.55,04/30/2015,In-kind items and services,254962500,BRILINTA,,Randomised double blind parallel group multicentre phase IIIb study to compare ticagrelor with clopidogrel treatment on the risk of cardiovascular death myocardial infarction and ischaemic stroke in patients with established Peripheral Artery Disease EUCLID Examining Use of tiCagreLor In paD,,
Covered Recipient Teaching Hospital,2815,Trinity Bettendorf,,,,,4500 Utica Ridge Rd,,Bettendorf,52722,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,22.42,04/30/2015,In-kind items and services,254962574,BRILINTA,,Randomised double blind parallel group multicentre phase IIIb study to compare ticagrelor with clopidogrel treatment on the risk of cardiovascular death myocardial infarction and ischaemic stroke in patients with established Peripheral Artery Disease EUCLID Examining Use of tiCagreLor In paD,,
Covered Recipient Teaching Hospital,2815,Trinity Bettendorf,,,,,4500 Utica Ridge Rd,,Bettendorf,52722,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,7136.50,01/16/2015,Cash or cash equivalent,254965480,BRILINTA,,"A Randomised, Double-Blind, Placebo Controlled, Parallel Group, Multicenter Trial, to Assess the Prevention of Thrombotic Events with Ticagrelor Compared to Placebo in Addition to Existing Acetyl Salicylic Acid ASA Therapy in Patients with History of Myocardial Infarction and Risk of Thrombotic Even",,
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Amarin Pharma Inc.,100000010379,Amarin Pharma Inc.,NJ,11158.00,12/17/2015,Cash or cash equivalent,274740606,AMR101,,"A Multi-Center, Prospective, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the effect of AMR101 on Cardiovascular Heath and Mortality in Hypertriglyceridemic Patients with Cardiovascular Disease or at High Risk for Cardio",,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,966.50,12/31/2015,In-kind items and services,257603260,,,"STRATOS 1 Tralokinumab in Asthma Ph 3 Pivotal Study 1,  A 52-Week, Multicentre, Randomized, Double-blind, Parallel Group, Placebo Controlled, Phase 3 Study to Evaluate the Efficacy and Safety of Tralokinumab in Adults and Adolescents with Asthma Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting B2 Agonist",,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,1398.73,12/31/2015,In-kind items and services,257603268,,,A Phase IIa Study to Investigate the Efficacy and Safety of AZD7624 in Chronic Obstructive Pulmonary Disease COPD Patients While on Maintenance Therapy,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,3877.59,04/06/2015,Cash or cash equivalent,257603276,BYDUREON,,Real World Evidence Bydureon Project EQW BCB402 MTC registry,,
Non-covered Recipient Entity,,,,,,,345 Beaver Kreek Ctr,Ste A,North Liberty,52317-9258,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,2500.00,12/29/2015,In-kind items and services,257604494,,,Beta lactamase characterization of baseline Enterobacteriaceae from Phase 3 trials of ceftazidime avibactam CAZ AVI for the treatment of complicated urinary tract infections cUTIs,,
Non-covered Recipient Entity,,,,,,,345 Beaver Kreek Ctr,Ste A,North Liberty,52317-9258,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,7000.00,06/26/2015,In-kind items and services,257604610,,,Molecular beta lactamase characterization of aerobic Gram negative pathgens recovered from patients enrolled in phase II trials for ceftazidime avibactam  Efficacy analyze against resistant subsets,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,14500.00,12/31/2015,Cash or cash equivalent,257603286,,,"STRATOS 1 Tralokinumab in Asthma Ph 3 Pivotal Study 1,  A 52-Week, Multicentre, Randomized, Double-blind, Parallel Group, Placebo Controlled, Phase 3 Study to Evaluate the Efficacy and Safety of Tralokinumab in Adults and Adolescents with Asthma Inadequately Controlled on Inhaled Corticosteroid Plus Long-acting B2 Agonist",,
Non-covered Recipient Entity,,,,,,,345 Beaver Kreek Ctr,Ste A,North Liberty,52317-9258,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,5000.00,06/03/2015,In-kind items and services,257605380,,,Beta lactamase characterization of baseline Enterobacteriaceae from a phase 3 trial of ceftazidime avibactam for the treatment of infections caused by CAZ nonsuspectible pathogens,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,44122.39,08/03/2015,Cash or cash equivalent,257603412,,,Ph2a Montherapy RCC study,,
Non-covered Recipient Entity,,,,,,,345 Beaver Kreek Ctr,Ste A,North Liberty,52317-9258,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,2500.00,06/03/2015,In-kind items and services,257605774,,,Beta lactamase characterization of Enterobacteriaceae baseline pathogens from two phase 3 trials of ceftazidime avibactam,,
Non-covered Recipient Entity,,,,,,,345 Beaver Kreek Ctr,Ste A,North Liberty,52317-9258,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,8750.00,11/26/2015,In-kind items and services,257606456,,,The in vitro activity of ceftazidime avibactam Gram negative pathogens isolated from patients with hospital acquired and ventilator associated bacterial pneumonia,,
Non-covered Recipient Entity,,,,,,,200 Hawkins Dr,,Iowa City,52242-1007,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,1083.30,03/18/2015,Cash or cash equivalent,257606680,BYDUREON,,Real World Evidence Bydureon Project EQW BCB402 MTC registry,,
Non-covered Recipient Entity,,,,,,,1753 W Ridgeway Ave,Ste 112,Waterloo,50701-4588,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,30126.13,08/07/2015,Cash or cash equivalent,257606712,,,A Phase III Open Label Randomised Multi centre International Study of MEDI4736 Given as Monotherapy or in Combination With Tremelimumab Determined by PD L1 Expression Versus Standard of Care in Patients With Locally Advanced or Metastatic Non Small Cell Lung Cancer Stage IIIB IV Who Have Received at Least Two Prior Systemic Treatment Regimens Including One Platinum Based Chemotherapy Regimen and Do Not Have Known EGFR TK Activating Mutations or ALK Rearrangements,,
Non-covered Recipient Entity,,,,,,,200 Hawkins Dr,,Iowa City,52242-1007,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,3500.00,01/14/2015,Cash or cash equivalent,257603658,BRILINTA,,US Clopidogrel study PCI with Bivalirudin,,
Non-covered Recipient Entity,,,,,,,200 Hawkins Dr,,Iowa City,52242-1007,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,3237.50,04/30/2015,In-kind items and services,257603690,BRILINTA,,US Clopidogrel study PCI with Bivalirudin,,
Non-covered Recipient Entity,,,,,,,200 Hawkins Dr,Ste E321gh,Iowa City,52242-1009,,,AstraZeneca Pharmaceuticals LP,100000000169,"MedImmune, LLC",MD,79630.04,08/20/2015,Cash or cash equivalent,254961344,,,"A Phase 2, Randomized Dose-ranging Study to Evaluate the Efficacy of Tralokinumab in Adults with Idiopathic Pulmonary Fibrosis",,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,3277.50,07/09/2015,Cash or cash equivalent,257603102,TUDORZA,,Double blind Randomized Placebo controlled Parallel group Study to Evaluate the Effect of Aclidinium Bromide on Long Term Cardiovascular Safety and COPD Exacerbations in Patients with Moderate to Very Severe COPD,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000010370,AstraZeneca UK Limited,,24223.60,02/05/2015,Cash or cash equivalent,257603302,EPANOVA,,A Long Term Outcomes Study to Assess Statin Residual Risk Reduction with Epanova in High Cardiovascular Riask Patients with Hypertriglyceridemia STRENGTH,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,11398.38,01/23/2015,Cash or cash equivalent,257603170,BRILINTA,,A Randomised Double Blind Multinational Study to Prevent Major Vascular Events with Ticagrelor Compared to Aspirin ASA in Patients with Acute Ischaemic Stroke or TIA,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,47.20,07/15/2015,In-kind items and services,257603208,TUDORZA,,Double blind Randomized Placebo controlled Parallel group Study to Evaluate the Effect of Aclidinium Bromide on Long Term Cardiovascular Safety and COPD Exacerbations in Patients with Moderate to Very Severe COPD,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,20936.95,01/23/2015,Cash or cash equivalent,257603214,FARXIGA,,"Dapagliflozin Effect on Cardiovascular Events  A Multicenter, Randomized, Double-Blind, Placebo-Controlled Trial to Evaluate the Effect of Dapagliflozin 10 mg Once Daily on the Incidence of Cardiovascular Death, Myocardial Infarction or Ischemic Stroke in Patients with Type 2 Diabetes",,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,6700.00,11/12/2015,Cash or cash equivalent,254971132,BRILINTA,,Affordability and Real world Antiplatelet Treatment Effectiveness After Myocardial Infarction Study Current patterns of P2Y12 receptor inhibitor use provide an excellent opportunity to test the impact of copayment reduction on clinician choice of medication patient adherence and clinical outcomes,,
Covered Recipient Teaching Hospital,2938,Mercy Medical Center-Des Moines,,,,,1111 6th Ave,,Des Moines,50314,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,18850.00,01/22/2015,Cash or cash equivalent,254970337,BRILINTA,,Randomised double blind parallel group multicentre phase IIIb study to compare ticagrelor with clopidogrel treatment on the risk of cardiovascular death myocardial infarction and ischaemic stroke in patients with established Peripheral Artery Disease EUCLID Examining Use of tiCagreLor In paD,,
Non-covered Recipient Entity,,,,,,,411 Laurel St,Ste 3262,Des Moines,50314-3027,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,29035.00,01/26/2015,Cash or cash equivalent,254970636,BYDUREON,BYDUREON PEN,Exenatide Study of Cardiovascular Event Lowering EXSCEL A Placebo controlled Double blind Trial Examining the Effect of Exenatide QW Treatment on Major Macrovascular Events in Patients with Type 2 Diabetes with Elevated CV Risk,,
Non-covered Recipient Entity,,,,,,,1515 Delhi St,Ste 100,Dubuque,52001-6320,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,1512.50,10/28/2015,Cash or cash equivalent,254971812,SYNAGIS,,The SENTINEL 1 Study An Observational  Non Interventional Study in the United States to Characterize Respiratory Syncytial Virus Hospitalizations among Infants Born at 29 to 35 Weeks Gestational Age Not Receiving Immunoprophylaxis,,
Covered Recipient Teaching Hospital,2948,Univ Of Iowa Hosp & Clinic,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,27269.60,03/10/2015,Cash or cash equivalent,254969940,,,High dose ICS LABA 2ndController Study SIROCCO,,
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,10703.17,06/15/2015,In-kind items and services,269270842,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,160.00,12/08/2015,In-kind items and services,269270844,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,199.00,12/08/2015,In-kind items and services,269270848,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,25.00,12/08/2015,In-kind items and services,269270850,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,79.00,12/08/2015,In-kind items and services,269270852,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,195.00,12/08/2015,In-kind items and services,269270854,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,7995.00,12/08/2015,In-kind items and services,269270856,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,195.00,03/30/2015,In-kind items and services,269270858,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,199.00,03/30/2015,In-kind items and services,269270860,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,260.00,03/30/2015,In-kind items and services,269270862,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,49.00,03/30/2015,In-kind items and services,269270864,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,7995.00,03/30/2015,In-kind items and services,269270866,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,79.00,03/30/2015,In-kind items and services,269270868,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,25.00,03/30/2015,In-kind items and services,269270870,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,1200.00,04/08/2015,In-kind items and services,269270872,,,,,Equipment for research support
Covered Recipient Teaching Hospital,2948,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,Cochlear Ltd,100000005734,Cochlear Americas,CO,325.00,04/08/2015,In-kind items and services,269270874,,,,,Equipment for research support
