Covered_Recipient_Type,Teaching_Hospital_ID,Teaching_Hospital_Name,Physician_Profile_ID,Physician_First_Name,Physician_Middle_Name,Physician_Last_Name,Recipient_Primary_Business_Street_Address_Line1,Recipient_Primary_Business_Street_Address_Line2,Recipient_City,Recipient_Zip_Code,Physician_Primary_Type,Physician_Specialty,Submitting_Applicable_Manufacturer_or_Applicable_GPO_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Total_Amount_of_Payment_USDollars,Date_of_Payment,Form_of_Payment_or_Transfer_of_Value,Record_ID
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,8250.00,12/15/2014,Cash or cash equivalent,120279515
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,8225.00,09/30/2014,Cash or cash equivalent,120279519
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,550.00,09/26/2014,Cash or cash equivalent,120279507
Non-covered Recipient Entity,,,,,,,ONE EDMUNDSON PLSUITE 500,,COUNCIL BLUFFS,51503-4619,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,6950.00,12/15/2014,Cash or cash equivalent,120279517
Non-covered Recipient Entity,,,,,,,200 HAWKINS DRIVEROOM W278GH,,IOWA CITY,52242-1009,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,12250.00,06/12/2014,Cash or cash equivalent,120280115
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242-1302,,,DePuy Synthes Sales Inc.,100000005706,DePuy Orthopaedics Inc.,IN,12600.00,08/28/2014,Cash or cash equivalent,120280117
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,915.00,09/12/2014,Cash or cash equivalent,131474326
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1185.00,04/21/2014,Cash or cash equivalent,131474348
Non-covered Recipient Entity,,,,,,,207 CROCKER ST,STE 300,DES MOINES,50309-1318,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,3975.00,10/20/2014,Cash or cash equivalent,131463154
Covered Recipient Teaching Hospital,1748,ST. LUKES METHODIST HOSPITAL,,,,,1026 A Ave NE,,Cedar Rapids,52402,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,550.00,12/15/2014,Cash or cash equivalent,131464514
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,2650.00,01/06/2014,Cash or cash equivalent,131474662
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,390.00,12/15/2014,Cash or cash equivalent,131474666
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,675.00,11/17/2014,Cash or cash equivalent,131465454
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,3307.50,09/12/2014,Cash or cash equivalent,131465458
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,675.00,07/03/2014,Cash or cash equivalent,131465462
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,2610.00,05/19/2014,Cash or cash equivalent,131465464
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,4425.00,11/17/2014,Cash or cash equivalent,131474312
Covered Recipient Teaching Hospital,1751,MERCY MEDICAL CENTER-DES MOINES,,,,,1111 6th Ave,,Des Moines,50314,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,585.00,07/03/2014,Cash or cash equivalent,131474338
Non-covered Recipient Entity,,,,,,,5950 UNIVERSITY AVE,STE 195,WEST DES MOINES,50266-8234,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,4050.00,02/18/2014,Cash or cash equivalent,131465380
Covered Recipient Teaching Hospital,1759,GENESIS MEDICAL CENTER,,,,,1227 E Rusholme St,,Davenport,52803,,,BOSTON SCIENTIFIC CORPORATION,100000005674,Boston Scientific Corporation,MA,1625.00,01/31/2014,Cash or cash equivalent,131472480
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,2402.86,12/18/2014,Cash or cash equivalent,144338936
Covered Recipient Teaching Hospital,1761,UNIV OF IOWA HOSP & CLINIC,,,,,200 Hawkins Dr,,Iowa City,52242,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,3408.00,01/22/2014,Cash or cash equivalent,144332124
Non-covered Recipient Entity,,,,,,,2055 KIMBALL AVENUE,,WATERLOO,50701,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,220.00,10/31/2014,Cash or cash equivalent,155710122
Non-covered Recipient Entity,,,,,,,2055 KIMBALL AVENUE,,WATERLOO,50701,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,440.00,12/26/2014,Cash or cash equivalent,155710126
Non-covered Recipient Entity,,,,,,,1622 EAST LOMBARD STREET,,DAVENPORT,52759,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,333.00,02/14/2014,Cash or cash equivalent,155708996
Non-covered Recipient Entity,,,,,,,1753 W Ridgeway Ave,Ste 112,Waterloo,50701-4588,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,13095.00,11/25/2014,Cash or cash equivalent,144327864
Non-covered Recipient Entity,,,,,,,933 E Pierce St,Ste 501,Council Bluffs,51503-4626,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,67.15,03/31/2014,In-kind items and services,144346430
Non-covered Recipient Entity,,,,,,,1753 W Ridgeway Ave,Ste 112,Waterloo,50701-4588,,,AstraZeneca Pharmaceuticals LP,100000000146,AstraZeneca Pharmaceuticals LP,DE,2854.71,12/31/2014,In-kind items and services,144342572
Non-covered Recipient Entity,,,,,,,600 7Th St Se,,Cedar Rapids,52401,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,51.00,01/24/2014,In-kind items and services,155712578
Non-covered Recipient Entity,,,,,,,200 HAWKINS DR5970Z JPP,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,2408.00,01/17/2014,Cash or cash equivalent,155719128
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,15851.00,10/27/2014,Cash or cash equivalent,155719026
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEOFFICE B5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,14719.00,08/29/2014,Cash or cash equivalent,155719036
Non-covered Recipient Entity,,,,,,,200 HAWKINS DR5970Z JPP,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,154.54,06/13/2014,Cash or cash equivalent,155719048
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,715.00,10/27/2014,Cash or cash equivalent,155719070
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,800.00,11/10/2014,Cash or cash equivalent,155719080
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,7824.00,09/15/2014,Cash or cash equivalent,155719088
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,550.00,11/21/2014,Cash or cash equivalent,155719098
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,825.00,11/21/2014,Cash or cash equivalent,155719106
Non-covered Recipient Entity,,,,,,,202 10th St SE,,Cedar Rapids,52401,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,1470.00,03/07/2014,In-kind items and services,155712568
Non-covered Recipient Entity,,,,,,,230 NEBRASKA STREET,,SIOUX CITY,51101,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,3500.00,02/28/2014,Cash or cash equivalent,155714558
Non-covered Recipient Entity,,,,,,,230 NEBRASKA STREET,,SIOUX CITY,51101,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,6300.00,05/23/2014,Cash or cash equivalent,155714560
Non-covered Recipient Entity,,,,,,,2055 KIMBALL AVENUE,,WATERLOO,50701,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,720.00,06/02/2014,Cash or cash equivalent,155710114
Non-covered Recipient Entity,,,,,,,1622 E LOMBARD STREET,,DAVENPORT,52759,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,561.00,12/29/2014,Cash or cash equivalent,155708994
Non-covered Recipient Entity,,,,,,,2055 KIMBALL AVENUE,,WATERLOO,50701,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,720.00,01/31/2014,Cash or cash equivalent,155710106
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEOFFICE B5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,4343.75,11/26/2014,Cash or cash equivalent,155719038
Non-covered Recipient Entity,,,,,,,200 HAWKINS DR5970Z JPP,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,1746.00,06/13/2014,Cash or cash equivalent,155719056
Non-covered Recipient Entity,,,,,,,GRANT ACCOUNTING OFFICEB5 JESSUP HALL,,IOWA CITY,52242,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,3822.00,10/03/2014,Cash or cash equivalent,155719076
Non-covered Recipient Entity,,,,,,,202 10th St SE,,Cedar Rapids,52401,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,7772.00,02/06/2014,In-kind items and services,155712558
Non-covered Recipient Entity,,,,,,,202 10th St SE,,Cedar Rapids,52401,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,196.00,03/06/2014,In-kind items and services,155712566
Non-covered Recipient Entity,,,,,,,202 10th St SE,,Cedar Rapids,52401,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,196.00,03/06/2014,In-kind items and services,155712560
Non-covered Recipient Entity,,,,,,,2024 NW 92nd Ct,Ste 8,Clive,50324,,,"Janssen Research & Development, LLC",100000005592,"Janssen Research & Development, LLC",NJ,3627.00,12/08/2014,In-kind items and services,155706482
